date,T2M,RH2M,heat_index_c,heat_index_f,heat_risk_level,heat_risk_color
2023-10-03,26.24,85.85,28.437447080100508,83.18740474418091,Caution,yellow
2023-10-04,26.26,86.57,28.52302130715556,83.34143835288,Caution,yellow
2023-10-05,25.82,87.03,27.50914481096696,81.51646065974053,Caution,yellow
2023-10-06,26.09,85.84,28.08829736379553,82.55893525483195,Caution,yellow
2023-10-07,26.49,86.21,29.058232219719635,84.30481799549534,Caution,yellow
2023-10-08,27.15,83.12,30.402789981681696,86.72502196702706,Caution,yellow
2023-10-09,26.84,82.8,29.62981698927576,85.33367058069636,Caution,yellow
2023-10-10,25.99,83.43,27.77116621220462,81.98809918196831,Caution,yellow
2023-10-11,26.17,81.64,28.07429651671604,82.53373373008887,Caution,yellow
2023-10-12,27.44,77.74,30.47597528261018,86.85675550869833,Caution,yellow
2023-10-13,27.74,76.37,30.96954181451243,87.74517526612237,Caution,yellow
2023-10-14,27.78,72.26,30.525624095328016,86.94612337159043,Caution,yellow
2023-10-15,27.44,77.19,30.41215775593912,86.74188396069042,Caution,yellow
2023-10-16,27.76,76.57,31.040375380528044,87.87267568495048,Caution,yellow
2023-10-17,27.63,75.47,30.61596477320269,87.10873659176484,Caution,yellow
2023-10-18,26.96,77.28,29.406397937175615,84.93151628691611,Caution,yellow
2023-10-19,27.04,75.36,29.39452797035114,84.91015034663205,Caution,yellow
2023-10-20,27.72,74.32,30.662477846399934,87.19246012351988,Caution,yellow
2023-10-21,27.46,76.12,30.331767418283018,86.59718135290943,Caution,yellow
2023-10-22,27.48,77.2,30.50066640684348,86.90119953231826,Caution,yellow
2023-10-23,26.83,73.63,28.85042404142612,83.93076327456701,Caution,yellow
2023-10-24,26.68,73.59,28.577268025070296,83.43908244512653,Caution,yellow
2023-10-25,25.92,71.17,26.42588333333334,79.56659,Low Risk,green
2023-10-26,25.32,65.69,25.622794444444438,78.12102999999999,Low Risk,green
2023-10-27,24.73,64.9,24.953166666666675,76.91570000000002,Low Risk,green
2023-10-28,25.12,64.73,25.377727777777782,77.67991,Low Risk,green
2023-10-29,25.26,63.93,25.510838888888898,77.91951000000002,Low Risk,green
2023-10-30,25.0,65.25,25.259305555555557,77.46675,Low Risk,green
2023-10-31,24.78,67.0,25.063000000000002,77.1134,Low Risk,green
2023-11-01,24.59,70.12,24.93546666666667,76.88384,Low Risk,green
2023-11-02,24.93,69.93,25.304505555555554,77.54811,Low Risk,green
2023-11-03,25.31,69.14,25.701877777777767,78.26337999999998,Low Risk,green
