date,T2M,T2M_MAX,T2M_MIN,RH2M,WS10M,PRECTOTCORR
2023-10-03,26.24,29.64,23.78,85.85,2.0,0.01
2023-10-04,26.26,30.29,23.57,86.57,2.06,0.0
2023-10-05,25.82,30.08,22.3,87.03,2.34,0.01
2023-10-06,26.09,30.44,23.02,85.84,2.11,0.04
2023-10-07,26.49,31.09,22.92,86.21,2.29,0.0
2023-10-08,27.15,32.43,22.79,83.12,2.28,0.0
2023-10-09,26.84,31.61,23.0,82.8,2.56,0.0
2023-10-10,25.99,31.13,21.9,83.43,2.97,0.0
2023-10-11,26.17,31.61,21.63,81.64,2.46,0.0
2023-10-12,27.44,33.29,22.79,77.74,2.29,0.0
2023-10-13,27.74,33.61,22.69,76.37,2.61,0.05
2023-10-14,27.78,33.26,22.69,72.26,2.02,0.08
2023-10-15,27.44,32.98,22.84,77.19,2.29,0.21
2023-10-16,27.76,32.69,23.45,76.57,2.07,0.4
2023-10-17,27.63,32.95,23.04,75.47,2.12,0.45
2023-10-18,26.96,32.58,22.49,77.28,3.11,0.04
2023-10-19,27.04,32.98,21.96,75.36,2.58,0.01
2023-10-20,27.72,32.63,23.0,74.32,2.35,0.02
2023-10-21,27.46,32.24,22.95,76.12,2.71,0.01
2023-10-22,27.48,32.25,23.34,77.2,2.37,0.05
2023-10-23,26.83,32.76,21.98,73.63,2.67,0.0
2023-10-24,26.68,32.35,22.33,73.59,2.82,0.0
2023-10-25,25.92,32.32,20.86,71.17,3.3,0.0
2023-10-26,25.32,31.85,19.84,65.69,3.78,0.0
2023-10-27,24.73,31.81,18.73,64.9,3.47,0.0
2023-10-28,25.12,32.3,18.75,64.73,3.03,0.0
2023-10-29,25.26,32.69,18.63,63.93,2.77,0.0
2023-10-30,25.0,32.31,19.09,65.25,3.46,0.0
2023-10-31,24.78,31.68,18.56,67.0,3.43,0.0
2023-11-01,24.59,31.66,18.94,70.12,3.46,0.0
2023-11-02,24.93,31.66,18.97,69.93,3.06,0.0
2023-11-03,25.31,32.47,19.61,69.14,3.31,0.0
