date,aod_550nm,no2_column_density,humidity_percent,pm25_estimated,aqi_estimated,aqi_category,aqi_color,data_source,soil_moisture,precipitation_mm,ndwi,flood_risk_score,risk_category,risk_color,is_monsoon_season,data_source_flood,day_of_week,is_weekend,radiance_nw_cm2_sr,activity_level,activity_color,economic_activity_index,data_source_urban,T2M,RH2M,heat_index_c,heat_index_f,heat_risk_level,heat_risk_color,T2M_power,T2M_MAX,T2M_MIN,RH2M_power,WS10M,PRECTOTCORR,day_of_year,month,is_monsoon,season,environmental_stress_index,air_quality_composite,water_stress_index,urban_environmental_load,aqi_estimated_lag1,aqi_estimated_lag3,flood_risk_score_lag1,flood_risk_score_lag3,aqi_estimated_7day_avg,aqi_estimated_7day_std,flood_risk_score_7day_avg,flood_risk_score_7day_std,environmental_stress_index_7day_avg,environmental_stress_index_7day_std,aqi_risk_level,flood_risk_level
2023-10-03,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,26.24,85.85,28.437447080100508,83.18740474418091,0,3,26.24,29.64,23.78,85.85,2.0,0.01,276,10,0,1,19.65,0.19646367180509142,2.543875,971.85,,,,,33.0,,32.5,,19.65,,,2
2023-10-04,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,26.26,86.57,28.52302130715556,83.34143835288,0,3,26.26,30.29,23.57,86.57,2.06,0.0,277,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,,32.5,,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-05,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,25.82,87.03,27.50914481096696,81.51646065974053,0,3,25.82,30.08,22.3,87.03,2.34,0.01,278,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,,32.5,,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-06,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,4,0,29.45,Moderate,2,61.849999999999994,0,26.09,85.84,28.08829736379553,82.55893525483195,0,3,26.09,30.44,23.02,85.84,2.11,0.04,279,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-07,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,5,1,29.45,Moderate,2,61.849999999999994,0,26.49,86.21,29.058232219719635,84.30481799549534,0,3,26.49,31.09,22.92,86.21,2.29,0.0,280,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-08,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,6,1,29.45,Moderate,2,61.849999999999994,0,27.15,83.12,30.402789981681696,86.72502196702706,0,3,27.15,32.43,22.79,83.12,2.28,0.0,281,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-09,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,0,0,29.45,Moderate,2,61.849999999999994,0,26.84,82.8,29.62981698927576,85.33367058069636,0,3,26.84,31.61,23.0,82.8,2.56,0.0,282,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-10,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,1,0,29.45,Moderate,2,61.849999999999994,0,25.99,83.43,27.77116621220462,81.98809918196831,0,3,25.99,31.13,21.9,83.43,2.97,0.0,283,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-11,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,2,0,29.45,Moderate,2,61.849999999999994,0,26.17,81.64,28.07429651671604,82.53373373008887,0,3,26.17,31.61,21.63,81.64,2.46,0.0,284,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
2023-10-12,0.527,0.3727963411861317,81.5,20.05,33.0,"('Good', 'green')",0,real_nasa_satellite_data,0.2165,11.75,0.1275,32.5,Moderate Risk,3,True,0,3,0,29.45,Moderate,2,61.849999999999994,0,27.44,77.74,30.47597528261018,86.85675550869833,0,3,27.44,33.29,22.79,77.74,2.29,0.0,285,10,0,1,19.65,0.19646367180509142,2.543875,971.85,33.0,33.0,32.5,32.5,33.0,0.0,32.5,0.0,19.65,0.0,,2
